,cpi_inflation,wpi_inflation,wpi_primary_inflation,wpi_fuel_inflation,wpi_manufacturing_inflation,ppi_inflation
2024-04-01,4.828747894441321,0.9090909090909038,6.666666666666665,-2.127659574468088,-0.6054490413723412,0.6054490413723634
2024-05-01,4.801786711334444,1.8255578093306468,7.624633431085037,0.3282275711159688,0.0,1.5212981744421983
2024-06-01,5.082872928176796,2.4415055951169995,8.228460793804459,-0.6629834254143541,0.9164969450101701,2.2403258655804503
2024-07-01,3.596349973161561,1.9172552976791213,4.819277108433728,0.6622516556291425,1.0224948875255713,1.7154389505549927
2024-08-01,3.6519871106337254,1.306532663316573,5.370370370370359,-0.9803921568627305,0.3058103975535298,1.3078470824949617
2024-09-01,5.4861488321564345,1.6064257028112428,8.458646616541344,-4.3524416135881205,0.3051881993896277,1.4056224899598346
2024-10-01,6.206152185644909,1.998001998001997,8.62708719851577,-4.831932773109249,0.8130081300812941,1.8000000000000016
2024-11-01,5.475040257648955,1.998001998001997,7.529843893480237,-3.290870488322728,1.0183299389002087,2.102102102102088
2024-12-01,5.223478729133024,2.2132796780683917,7.462686567164178,-2.245989304812823,1.0214504596527174,2.318548387096775
2025-01-01,4.258760107816717,1.812688821752273,4.469273743016755,-2.347918890074707,1.535312180143289,2.016129032258074
2025-02-01,3.6060279870828715,1.6112789526686822,1.7608897126969225,-1.602564102564108,2.258726899383978,1.814516129032251
2025-03-01,3.336921420882666,1.2072434607645732,0.46253469010175685,-2.893890675241162,2.2517911975435068,1.5120967741935498
2025-04-01,3.160149973219073,0.6006006006005871,-0.27573529411764053,-3.4782608695652195,1.8274111675126825,0.8024072216650024
2025-05-01,2.823654768247219,-0.19920318725099584,-1.6348773841961872,-5.452562704471098,1.415571284125372,0.09990009990010762
2025-06-01,2.103049421661418,-0.3972194637537285,-2.951699463327373,-3.0033370411568394,1.2108980827447047,-0.09960159362550902
2025-07-01,1.6062176165803077,-0.7920792079207928,-4.50928381962864,-3.7280701754386025,1.3157894736842035,-0.49603174603174427
2025-08-01,2.0725388601036343,0.0,-3.690685413005279,-3.0803080308030917,2.0325203252032464,0.19860973187686426
2025-09-01,1.4418125643666402,-0.19762845849802257,-4.0727902946273815,-2.5527192008878985,1.8255578093306468,0.0
2025-10-01,0.2540650406503975,-1.1753183153770719,-5.72160546541417,-3.863134657836642,1.4112903225806273,-0.6876227897838927
2025-11-01,0.7124681933842192,-0.5876591576885359,-4.099060631938512,-2.963776070252455,1.4112903225806273,-0.2941176470588225
2025-12-01,1.3306038894575156,0.2952755905512028,-2.777777777777779,-2.6258205689277947,2.2244691607684386,0.5911330049261032
